participant_id,cluster_id,occupation,day_surveyed,frequency_of_interaction,relationship,contact_type,total_time_contact,agecat_contact,agecat_participant,number_casual_contacts,distance_from_home,Rural
104,1,school college university student,Friday,Daily or almost daily,Friend,Physical,2h - <4h,5-9y olds,10-14y olds,0-9,0,No
104,1,school college university student,Friday,Daily or almost daily,Household member,Physical,>4h,35-44y olds,10-14y olds,0-9,0,No
104,1,school college university student,Friday,Daily or almost daily,Friend,Physical,2h - <4h,10-14y olds,10-14y olds,0-9,0,No
104,1,school college university student,Friday,Daily or almost daily,Friend,Physical,2h - <4h,10-14y olds,10-14y olds,0-9,0,No
104,1,school college university student,Friday,Daily or almost daily,Friend,Physical,2h - <4h,10-14y olds,10-14y olds,0-9,0,No
104,1,school college university student,Friday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,10-14y olds,0-9,0,No
104,1,school college university student,Friday,Daily or almost daily,Friend,Physical,2h - <4h,10-14y olds,10-14y olds,0-9,0,No
106,1,shop worker,Tuesday,Daily or almost daily,Friend,Nonphysical,>4h,35-44y olds,35-44y olds,20 - 29,0,No
106,1,shop worker,Tuesday,Daily or almost daily,Friend,Nonphysical,>4h,25-34y olds,35-44y olds,20 - 29,0,No
106,1,shop worker,Tuesday,At least once a week,Other,Nonphysical,15mins - <1h,15-24y olds,35-44y olds,20 - 29,0,No
106,1,shop worker,Tuesday,Daily or almost daily,Household member,Physical,>4h,35-44y olds,35-44y olds,20 - 29,0,No
106,1,shop worker,Tuesday,At least once a week,Other,Nonphysical,2h - <4h,25-34y olds,35-44y olds,20 - 29,0,No
110,1,shop worker,Tuesday,Daily or almost daily,Household member,Physical,>4h,45-54Y olds,35-44y olds,0-9,0,No
110,1,shop worker,Tuesday,Daily or almost daily,Other,Nonphysical,2h - <4h,35-44y olds,35-44y olds,0-9,0,No
110,1,shop worker,Tuesday,Daily or almost daily,Other,Nonphysical,2h - <4h,25-34y olds,35-44y olds,0-9,0,No
110,1,shop worker,Tuesday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,35-44y olds,0-9,0,No
110,1,shop worker,Tuesday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,35-44y olds,0-9,0,No
110,1,shop worker,Tuesday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,35-44y olds,0-9,0,No
110,1,shop worker,Tuesday,Daily or almost daily,Other,Nonphysical,2h - <4h,15-24y olds,35-44y olds,0-9,0,No
110,1,shop worker,Tuesday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,35-44y olds,0-9,0,No
113,1,school college university student,Friday,Daily or almost daily,Friend,Physical,>4h,15-24y olds,5-9y olds,Oct-19,0,No
113,1,school college university student,Friday,Daily or almost daily,Friend,Physical,>4h,5-9y olds,5-9y olds,Oct-19,0,No
113,1,school college university student,Friday,Daily or almost daily,Friend,Physical,>4h,15-24y olds,5-9y olds,Oct-19,0,No
113,1,school college university student,Friday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,5-9y olds,Oct-19,0,No
113,1,school college university student,Friday,Daily or almost daily,Household member,Physical,>4h,45-54Y olds,5-9y olds,Oct-19,0,No
113,1,school college university student,Friday,Daily or almost daily,Household member,Physical,>4h,45-54Y olds,5-9y olds,Oct-19,0,No
113,1,school college university student,Friday,Daily or almost daily,Friend,Physical,>4h,10-14y olds,5-9y olds,Oct-19,0,No
113,1,school college university student,Friday,Daily or almost daily,Friend,Physical,>4h,15-24y olds,5-9y olds,Oct-19,0,No
113,1,school college university student,Friday,Daily or almost daily,Friend,Physical,>4h,5-9y olds,5-9y olds,Oct-19,0,No
117,1,shop worker,Tuesday,Daily or almost daily,Other,Physical,>4h,25-34y olds,25-34y olds,0-9,0,No
117,1,shop worker,Tuesday,Daily or almost daily,Other,Physical,>4h,25-34y olds,25-34y olds,0-9,0,No
117,1,shop worker,Tuesday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,25-34y olds,0-9,0,No
117,1,shop worker,Tuesday,Daily or almost daily,Other,Physical,>4h,25-34y olds,25-34y olds,0-9,0,No
117,1,shop worker,Tuesday,Daily or almost daily,Other,Physical,>4h,25-34y olds,25-34y olds,0-9,0,No
117,1,shop worker,Tuesday,Daily or almost daily,Other,Physical,>4h,35-44y olds,25-34y olds,0-9,0,No
117,1,shop worker,Tuesday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,25-34y olds,0-9,0,No
117,1,shop worker,Tuesday,Daily or almost daily,Household member,Physical,>4h,35-44y olds,25-34y olds,0-9,0,No
120,1,school college university student,Friday,Daily or almost daily,Household member,Physical,>4h,2-4y olds,2-4y olds,30+,0,No
120,1,school college university student,Friday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,2-4y olds,30+,0,No
120,1,school college university student,Friday,Daily or almost daily,Friend,Physical,>4h,2-4y olds,2-4y olds,30+,0,No
120,1,school college university student,Friday,Daily or almost daily,Friend,Physical,15mins - <1h,5-9y olds,2-4y olds,30+,0,No
120,1,school college university student,Friday,Daily or almost daily,Friend,Physical,1h - <2h,5-9y olds,2-4y olds,30+,0,No
120,1,school college university student,Friday,Daily or almost daily,Friend,Physical,15mins - <1h,5-9y olds,2-4y olds,30+,0,No
120,1,school college university student,Friday,Daily or almost daily,Friend,Physical,15mins - <1h,2-4y olds,2-4y olds,30+,0,No
120,1,school college university student,Friday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,2-4y olds,30+,0,No
120,1,school college university student,Friday,Daily or almost daily,Friend,Physical,>4h,2-4y olds,2-4y olds,30+,0,No
120,1,school college university student,Friday,Daily or almost daily,Friend,Physical,>4h,2-4y olds,2-4y olds,30+,0,No
121,1,housewife,Tuesday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,25-34y olds,0-9,0,No
121,1,housewife,Tuesday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,25-34y olds,0-9,0,No
129,1,housewife,Tuesday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,25-34y olds,0-9,0,No
129,1,housewife,Tuesday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,25-34y olds,0-9,0,No
129,1,housewife,Tuesday,Daily or almost daily,Household member,Physical,>4h,2-4y olds,25-34y olds,0-9,0,No
129,1,housewife,Tuesday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,25-34y olds,0-9,0,No
202,2,shop worker,Tuesday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,15-24y olds,Oct-19,0,No
202,2,shop worker,Tuesday,Daily or almost daily,Other,Nonphysical,>4h,15-24y olds,15-24y olds,Oct-19,0,No
202,2,shop worker,Tuesday,Daily or almost daily,Other,Nonphysical,>4h,25-34y olds,15-24y olds,Oct-19,0,No
206,2,shop worker,Tuesday,Daily or almost daily,Household member,Physical,>4h,35-44y olds,25-34y olds,0-9,0,No
206,2,shop worker,Tuesday,Daily or almost daily,Household member,Physical,>4h,2-4y olds,25-34y olds,0-9,0,No
206,2,shop worker,Tuesday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,25-34y olds,0-9,0,No
210,2,shop worker,Tuesday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,35-44y olds,Oct-19,0,No
210,2,shop worker,Tuesday,Daily or almost daily,Household member,Physical,>4h,45-54Y olds,35-44y olds,Oct-19,0,No
210,2,shop worker,Tuesday,Daily or almost daily,Friend,Nonphysical,1h - <2h,45-54Y olds,35-44y olds,Oct-19,0,No
212,2,pre-school child,Friday,Daily or almost daily,Friend,Physical,2h - <4h,2-4y olds,2-4y olds,0-9,4.1,No
212,2,pre-school child,Friday,Daily or almost daily,Household member,Physical,2h - <4h,25-34y olds,2-4y olds,0-9,0,No
212,2,pre-school child,Friday,Daily or almost daily,Household member,Physical,2h - <4h,15-24y olds,2-4y olds,0-9,0,No
212,2,pre-school child,Friday,Daily or almost daily,Friend,Physical,2h - <4h,2-4y olds,2-4y olds,0-9,4.1,No
217,2,others,Tuesday,At least once a month,Other relative,Nonphysical,15mins - <1h,55-64y olds,15-24y olds,0-9,1.6,No
217,2,others,Tuesday,Never met before,Other,Nonphysical,<15mins,15-24y olds,15-24y olds,0-9,4.7,No
217,2,others,Tuesday,Daily or almost daily,Household member,Physical,2h - <4h,25-34y olds,15-24y olds,0-9,0,No
217,2,others,Tuesday,Daily or almost daily,Household member,Physical,1h - <2h,2-4y olds,15-24y olds,0-9,0,No
217,2,others,Tuesday,Daily or almost daily,Household member,Nonphysical,1h - <2h,2-4y olds,15-24y olds,0-9,0,No
217,2,others,Tuesday,Never met before,Other,Nonphysical,<15mins,15-24y olds,15-24y olds,0-9,4.7,No
217,2,others,Tuesday,At least once a month,Other relative,Nonphysical,15mins - <1h,15-24y olds,15-24y olds,0-9,1.6,No
221,2,school college university student,Tuesday,Daily or almost daily,Other,Physical,15mins - <1h,25-34y olds,15-24y olds,Don't know,0,No
221,2,school college university student,Tuesday,Daily or almost daily,Household member,Nonphysical,>4h,15-24y olds,15-24y olds,Don't know,0,No
221,2,school college university student,Tuesday,Daily or almost daily,Friend,Nonphysical,2h - <4h,15-24y olds,15-24y olds,Don't know,0,No
223,2,school college university student,Tuesday,Daily or almost daily,Colleague or schoolmate,Physical,2h - <4h,5-9y olds,5-9y olds,Don't know,0,No
223,2,school college university student,Tuesday,Daily or almost daily,Colleague or schoolmate,Physical,2h - <4h,5-9y olds,5-9y olds,Don't know,0,No
223,2,school college university student,Tuesday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,5-9y olds,Don't know,0,No
223,2,school college university student,Tuesday,Daily or almost daily,Household member,Physical,>4h,2-4y olds,5-9y olds,Don't know,0,No
223,2,school college university student,Tuesday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,5-9y olds,Don't know,0,No
223,2,school college university student,Tuesday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,5-9y olds,Don't know,0,No
223,2,school college university student,Tuesday,Daily or almost daily,Colleague or schoolmate,Physical,2h - <4h,15-24y olds,5-9y olds,Don't know,0,No
223,2,school college university student,Tuesday,Daily or almost daily,Household member,Physical,>4h,35-44y olds,5-9y olds,Don't know,0,No
223,2,school college university student,Tuesday,Daily or almost daily,Household member,Physical,>4h,35-44y olds,5-9y olds,Don't know,0,No
223,2,school college university student,Tuesday,Daily or almost daily,Household member,Physical,>4h,2-4y olds,5-9y olds,Don't know,0,No
223,2,school college university student,Tuesday,Daily or almost daily,Colleague or schoolmate,Physical,2h - <4h,5-9y olds,5-9y olds,Don't know,0,No
302,3,others,Thursday,Less than once a month,Other,Nonphysical,1h - <2h,35-44y olds,25-34y olds,20 - 29,0,No
302,3,others,Thursday,At least once a week,Friend,Nonphysical,1h - <2h,25-34y olds,25-34y olds,20 - 29,0,No
302,3,others,Thursday,Daily or almost daily,Other,Nonphysical,1h - <2h,10-14y olds,25-34y olds,20 - 29,0,No
302,3,others,Thursday,At least once a week,Friend,Nonphysical,<15mins,35-44y olds,25-34y olds,20 - 29,0,No
302,3,others,Thursday,At least once a month,Other,Nonphysical,>4h,25-34y olds,25-34y olds,20 - 29,0,No
302,3,others,Thursday,Daily or almost daily,Other,Nonphysical,1h - <2h,15-24y olds,25-34y olds,20 - 29,0,No
302,3,others,Thursday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,25-34y olds,20 - 29,0,No
302,3,others,Thursday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,25-34y olds,20 - 29,0,No
302,3,others,Thursday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,25-34y olds,20 - 29,0,No
304,3,pre-school child,Thursday,Daily or almost daily,Friend,Nonphysical,1h - <2h,5-9y olds,5-9y olds,Oct-19,0,No
304,3,pre-school child,Thursday,Daily or almost daily,Friend,Nonphysical,1h - <2h,25-34y olds,5-9y olds,Oct-19,0,No
304,3,pre-school child,Thursday,Daily or almost daily,Household member,Physical,>4h,45-54Y olds,5-9y olds,Oct-19,0,No
304,3,pre-school child,Thursday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,5-9y olds,Oct-19,0,No
304,3,pre-school child,Thursday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,5-9y olds,Oct-19,0,No
304,3,pre-school child,Thursday,Daily or almost daily,Friend,Nonphysical,15mins - <1h,10-14y olds,5-9y olds,Oct-19,0,No
304,3,pre-school child,Thursday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,5-9y olds,Oct-19,0,No
304,3,pre-school child,Thursday,Daily or almost daily,Friend,Nonphysical,1h - <2h,5-9y olds,5-9y olds,Oct-19,0,No
304,3,pre-school child,Thursday,Daily or almost daily,Household member,Physical,>4h,45-54Y olds,5-9y olds,Oct-19,0,No
306,3,shop worker,Thursday,Daily or almost daily,Friend,Nonphysical,>4h,15-24y olds,15-24y olds,0-9,0,No
306,3,shop worker,Thursday,Daily or almost daily,Friend,Nonphysical,>4h,25-34y olds,15-24y olds,0-9,0,No
306,3,shop worker,Thursday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,15-24y olds,0-9,0,No
306,3,shop worker,Thursday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,15-24y olds,0-9,0,No
306,3,shop worker,Thursday,Daily or almost daily,Household member,Physical,>4h,2-4y olds,15-24y olds,0-9,0,No
310,3,office worker,Thursday,At least once a week,Other relative,Physical,1h - <2h,45-54Y olds,35-44y olds,20 - 29,4.3,No
310,3,office worker,Thursday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,35-44y olds,20 - 29,0,No
310,3,office worker,Thursday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,35-44y olds,20 - 29,0,No
310,3,office worker,Thursday,At least once a week,Other relative,Nonphysical,15mins - <1h,35-44y olds,35-44y olds,20 - 29,4.3,No
310,3,office worker,Thursday,Daily or almost daily,Household member,Physical,>4h,<2y olds,35-44y olds,20 - 29,0,No
310,3,office worker,Thursday,At least once a week,Other relative,Nonphysical,15mins - <1h,25-34y olds,35-44y olds,20 - 29,4.3,No
310,3,office worker,Thursday,Daily or almost daily,Other,Nonphysical,>4h,35-44y olds,35-44y olds,20 - 29,0,No
310,3,office worker,Thursday,At least once a week,Other relative,Nonphysical,15mins - <1h,15-24y olds,35-44y olds,20 - 29,4.3,No
310,3,office worker,Thursday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,35-44y olds,20 - 29,0,No
310,3,office worker,Thursday,Daily or almost daily,Other,Nonphysical,>4h,10-14y olds,35-44y olds,20 - 29,0,No
310,3,office worker,Thursday,Daily or almost daily,Friend,Nonphysical,>4h,25-34y olds,35-44y olds,20 - 29,0,No
310,3,office worker,Thursday,At least once a week,Other relative,Nonphysical,15mins - <1h,45-54Y olds,35-44y olds,20 - 29,4.3,No
310,3,office worker,Thursday,Daily or almost daily,Friend,Nonphysical,>4h,35-44y olds,35-44y olds,20 - 29,0,No
313,3,school college university student,Friday,Daily or almost daily,Friend,Physical,>4h,2-4y olds,5-9y olds,20 - 29,0,No
313,3,school college university student,Friday,Daily or almost daily,Friend,Physical,>4h,5-9y olds,5-9y olds,20 - 29,0,No
313,3,school college university student,Friday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,5-9y olds,20 - 29,0,No
313,3,school college university student,Friday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,5-9y olds,20 - 29,0,No
313,3,school college university student,Friday,Daily or almost daily,Friend,Physical,>4h,5-9y olds,5-9y olds,20 - 29,0,No
313,3,school college university student,Friday,Daily or almost daily,Household member,Physical,>4h,35-44y olds,5-9y olds,20 - 29,0,No
313,3,school college university student,Friday,Daily or almost daily,Friend,Physical,>4h,5-9y olds,5-9y olds,20 - 29,4.1,No
313,3,school college university student,Friday,Daily or almost daily,Friend,Physical,>4h,5-9y olds,5-9y olds,20 - 29,4.1,No
313,3,school college university student,Friday,Daily or almost daily,Friend,Physical,>4h,5-9y olds,5-9y olds,20 - 29,4.1,No
313,3,school college university student,Friday,Daily or almost daily,Friend,Physical,>4h,10-14y olds,5-9y olds,20 - 29,4.1,No
313,3,school college university student,Friday,Daily or almost daily,Household member,Physical,>4h,45-54Y olds,5-9y olds,20 - 29,0,No
313,3,school college university student,Friday,Daily or almost daily,Friend,Physical,>4h,5-9y olds,5-9y olds,20 - 29,0,No
313,3,school college university student,Friday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,5-9y olds,20 - 29,0,No
314,3,others,Thursday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,<2y olds,0-9,0,No
314,3,others,Thursday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,<2y olds,0-9,0,No
314,3,others,Thursday,Daily or almost daily,Friend,Physical,>4h,35-44y olds,<2y olds,0-9,0,No
317,3,shop worker,Thursday,At least once a week,Colleague or schoolmate,Physical,2h - <4h,25-34y olds,15-24y olds,Don't know,30.9,No
317,3,shop worker,Thursday,At least once a week,Colleague or schoolmate,Physical,2h - <4h,25-34y olds,15-24y olds,Don't know,30.9,No
317,3,shop worker,Thursday,At least once a week,Colleague or schoolmate,Physical,2h - <4h,25-34y olds,15-24y olds,Don't know,30.9,No
325,3,pre-school child,Thursday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,<2y olds,0-9,0,No
325,3,pre-school child,Thursday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,<2y olds,0-9,0,No
402,4,shop worker,Thursday,At least once a week,Other,Nonphysical,2h - <4h,35-44y olds,25-34y olds,Don't know,0,No
402,4,shop worker,Thursday,At least once a week,Other,Nonphysical,<15mins,35-44y olds,25-34y olds,Don't know,0,No
402,4,shop worker,Thursday,Daily or almost daily,Household member,Physical,>4h,2-4y olds,25-34y olds,Don't know,0,No
402,4,shop worker,Thursday,At least once a week,Other,Nonphysical,2h - <4h,25-34y olds,25-34y olds,Don't know,0,No
402,4,shop worker,Thursday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,25-34y olds,Don't know,0,No
402,4,shop worker,Thursday,Daily or almost daily,Other,Physical,15mins - <1h,15-24y olds,25-34y olds,Don't know,0,No
402,4,shop worker,Thursday,At least once a week,Other,Nonphysical,15mins - <1h,25-34y olds,25-34y olds,Don't know,0,No
402,4,shop worker,Thursday,Daily or almost daily,Other,Nonphysical,15mins - <1h,35-44y olds,25-34y olds,Don't know,0,No
402,4,shop worker,Thursday,At least once a week,Other,Nonphysical,2h - <4h,25-34y olds,25-34y olds,Don't know,0,No
402,4,shop worker,Thursday,At least once a week,Other,Nonphysical,2h - <4h,25-34y olds,25-34y olds,Don't know,0,No
402,4,shop worker,Thursday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,25-34y olds,Don't know,0,No
402,4,shop worker,Thursday,At least once a week,Other,Nonphysical,2h - <4h,55-64y olds,25-34y olds,Don't know,0,No
402,4,shop worker,Thursday,Daily or almost daily,Other,Nonphysical,<15mins,15-24y olds,25-34y olds,Don't know,0,No
402,4,shop worker,Thursday,At least once a week,Other,Nonphysical,15mins - <1h,25-34y olds,25-34y olds,Don't know,0,No
402,4,shop worker,Thursday,Daily or almost daily,Other,Nonphysical,15mins - <1h,45-54Y olds,25-34y olds,Don't know,0,No
402,4,shop worker,Thursday,Daily or almost daily,Other,Nonphysical,1h - <2h,35-44y olds,25-34y olds,Don't know,0,No
402,4,shop worker,Thursday,At least once a week,Other,Nonphysical,2h - <4h,35-44y olds,25-34y olds,Don't know,0,No
402,4,shop worker,Thursday,At least once a week,Other,Nonphysical,2h - <4h,25-34y olds,25-34y olds,Don't know,0,No
402,4,shop worker,Thursday,Daily or almost daily,Other,Nonphysical,15mins - <1h,25-34y olds,25-34y olds,Don't know,0,No
404,4,school college university student,Thursday,Daily or almost daily,Colleague or schoolmate,Physical,>4h,5-9y olds,5-9y olds,20 - 29,0,No
404,4,school college university student,Thursday,Daily or almost daily,Colleague or schoolmate,Physical,>4h,5-9y olds,5-9y olds,20 - 29,0,No
404,4,school college university student,Thursday,Daily or almost daily,Colleague or schoolmate,Physical,>4h,5-9y olds,5-9y olds,20 - 29,0,No
404,4,school college university student,Thursday,Daily or almost daily,Colleague or schoolmate,Physical,>4h,5-9y olds,5-9y olds,20 - 29,0,No
404,4,school college university student,Thursday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,5-9y olds,20 - 29,0,No
404,4,school college university student,Thursday,Daily or almost daily,Colleague or schoolmate,Physical,>4h,5-9y olds,5-9y olds,20 - 29,0,No
404,4,school college university student,Thursday,Daily or almost daily,Colleague or schoolmate,Physical,>4h,5-9y olds,5-9y olds,20 - 29,0,No
404,4,school college university student,Thursday,Daily or almost daily,Colleague or schoolmate,Physical,>4h,5-9y olds,5-9y olds,20 - 29,0,No
404,4,school college university student,Thursday,Daily or almost daily,Household member,Physical,>4h,45-54Y olds,5-9y olds,20 - 29,0,No
404,4,school college university student,Thursday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,5-9y olds,20 - 29,0,No
406,4,manual worker,Thursday,Daily or almost daily,Household member,Nonphysical,>4h,15-24y olds,15-24y olds,Don't know,0,No
406,4,manual worker,Thursday,Daily or almost daily,Other,Nonphysical,15mins - <1h,25-34y olds,15-24y olds,Don't know,0,No
406,4,manual worker,Thursday,Daily or almost daily,Household member,Nonphysical,>4h,15-24y olds,15-24y olds,Don't know,0,No
406,4,manual worker,Thursday,Daily or almost daily,Household member,Nonphysical,>4h,35-44y olds,15-24y olds,Don't know,0,No
406,4,manual worker,Thursday,Never met before,Other,Nonphysical,15mins - <1h,35-44y olds,15-24y olds,Don't know,0,No
410,4,shop worker,Thursday,Daily or almost daily,Other,Nonphysical,2h - <4h,15-24y olds,25-34y olds,Oct-19,0,No
410,4,shop worker,Thursday,At least once a week,Other,Nonphysical,<15mins,25-34y olds,25-34y olds,Oct-19,0,No
410,4,shop worker,Thursday,Daily or almost daily,Other,Nonphysical,2h - <4h,15-24y olds,25-34y olds,Oct-19,0,No
410,4,shop worker,Thursday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,25-34y olds,Oct-19,0,No
410,4,shop worker,Thursday,Daily or almost daily,Other,Nonphysical,<15mins,25-34y olds,25-34y olds,Oct-19,0,No
410,4,shop worker,Thursday,At least once a week,Other,Nonphysical,<15mins,35-44y olds,25-34y olds,Oct-19,0,No
410,4,shop worker,Thursday,Daily or almost daily,Friend,Nonphysical,2h - <4h,15-24y olds,25-34y olds,Oct-19,0,No
410,4,shop worker,Thursday,Daily or almost daily,Other,Nonphysical,<15mins,35-44y olds,25-34y olds,Oct-19,0,No
412,4,pre-school child,Thursday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,2-4y olds,0-9,0,No
412,4,pre-school child,Thursday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,2-4y olds,0-9,0,No
412,4,pre-school child,Thursday,Daily or almost daily,Household member,Physical,>4h,2-4y olds,2-4y olds,0-9,0,No
412,4,pre-school child,Thursday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,2-4y olds,0-9,0,No
412,4,pre-school child,Thursday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,2-4y olds,0-9,0,No
412,4,pre-school child,Thursday,Daily or almost daily,Household member,Physical,>4h,10-14y olds,2-4y olds,0-9,0,No
417,4,shop worker,Thursday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,25-34y olds,30+,0,No
417,4,shop worker,Thursday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,25-34y olds,30+,0,No
417,4,shop worker,Thursday,Daily or almost daily,Household member,Physical,>4h,2-4y olds,25-34y olds,30+,0,No
417,4,shop worker,Thursday,Daily or almost daily,Household member,Physical,>4h,2-4y olds,25-34y olds,30+,0,No
421,4,shop worker,Thursday,At least once a month,Other,Nonphysical,<15mins,15-24y olds,25-34y olds,0-9,0,No
421,4,shop worker,Thursday,Daily or almost daily,Household member,Physical,>4h,45-54Y olds,25-34y olds,0-9,0,No
421,4,shop worker,Thursday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,25-34y olds,0-9,0,No
421,4,shop worker,Thursday,At least once a week,Friend,Nonphysical,15mins - <1h,15-24y olds,25-34y olds,0-9,5.5,No
421,4,shop worker,Thursday,Never met before,Other,Physical,15mins - <1h,15-24y olds,25-34y olds,0-9,5.5,No
421,4,shop worker,Thursday,At least once a week,Other,Nonphysical,<15mins,25-34y olds,25-34y olds,0-9,0,No
421,4,shop worker,Thursday,At least once a week,Other,Physical,1h - <2h,25-34y olds,25-34y olds,0-9,5.5,No
423,4,school college university student,Friday,Daily or almost daily,Household member,Physical,>4h,2-4y olds,5-9y olds,0-9,0,No
423,4,school college university student,Friday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,5-9y olds,0-9,0,No
423,4,school college university student,Friday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,5-9y olds,0-9,0,No
423,4,school college university student,Friday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,5-9y olds,0-9,0,No
423,4,school college university student,Friday,Daily or almost daily,Household member,Physical,>4h,5-9y olds,5-9y olds,0-9,0,No
427,4,school college university student,Friday,Daily or almost daily,Colleague or schoolmate,Physical,15mins - <1h,5-9y olds,5-9y olds,0-9,0,No
427,4,school college university student,Friday,Daily or almost daily,Colleague or schoolmate,Physical,2h - <4h,5-9y olds,5-9y olds,0-9,0,No
